[  % 1
open(refrigerator) | open the refrigerator
inside(microwave_oven, salmon) | put the item in the microwave
closed(refrigerator) | close the inside_furniture
heated(salmon) | heat the item
on(table, plate) | put the item on the table
on(plate, salmon) | put the item on the plate
has(user, towel) | give me the item
on(couch, newspaper) | put the item on the couch
has(user, candle) | give me the item
filled(teapot, kettle) | fill the item from the kettle
has(user, teapot) | give me the item
inside(dishwasher, plate) | put the item in the dishwasher
inside(dishwasher, teapot) | put the item in the dishwasher
on(table, bowl) | put the item on the table
on(table, bread) | put the item on the table
on(couch, rug) | put the item on the couch
]

[  % 2
on(table, computer) | put the computer on the table
has(user, book) | give me the item
on(couch, blanket) | put the item on the couch
has(user, muffin) | give me the item
filled(teapot, kettle) | fill the item from the kettle
has(user, teapot) | give me the item
inside(dishwasher, teapot) | put the item in the dishwasher
filled(cup, kettle) | fill the item from the kettle
has(user, cup) | give me the item
inside(dishwasher, cup) | put the item in the dishwasher
on(table, glass) | put the item on the table
on(table, cake) | put the item on the table
on(table, jar) | put the item on the table
on(table, vase) | put the item on the table
on(table, phone) | put the item on the table
on(table, plant) | put the item on the table
]

[  % 3
switched_on(television) | turn on the television
has(user, pillow) | give me the item
on(couch, newspaper) | put the item on the couch
has(user, candle) | give me the item
on(couch, blanket) | put the item on the couch
has(user, muffin) | give me the item
filled(teapot, kettle) | fill the item from the kettle
has(user, teapot) | give me the item
inside(dishwasher, teapot) | put the item in the dishwasher
on(table, bowl) | put the item on the table
on(table, cookie) | put the item on the table
on(table, clock) | put the item on the table
on(table, thermos) | put the item on the table
on(table, bottle) | put the item on the table
on(couch, rug) | put the item on the couch
on(table, pizza) | put the item on the table
]

[  % 4
open(refrigerator) | open the refrigerator
inside(microwave_oven, salmon) | put the item in the microwave
closed(refrigerator) | close the inside_furniture
heated(salmon) | heat the item
on(table, plate) | put the item on the table
on(plate, salmon) | put the item on the plate
has(user, towel) | give me the item
switched_on(television) | turn on the item
has(user, pillow) | give me the item
filled(teapot, kettle) | fill the item from the kettle
has(user, teapot) | give me the item
inside(dishwasher, plate) | put the item in the dishwasher
inside(dishwasher, teapot) | put the item in the dishwasher
on(table, mug) | put the item on the table
on(table, cake) | put the item on the table
on(table, clock) | put the item on the table
]

[  % 5
on(table, computer) | put the computer on the table
has(user, book) | give me the item
on(couch, newspaper) | put the item on the couch
has(user, candle) | give me the item
filled(teapot, kettle) | fill the item from the kettle
has(user, teapot) | give me the item
inside(dishwasher, teapot) | put the item in the dishwasher
filled(cup, kettle) | fill the item from the kettle
has(user, cup) | give me the item
inside(dishwasher, cup) | put the item in the dishwasher
on(table, bread) | put the item on the table
on(table, jar) | put the item on the table
on(table, vase) | put the item on the table
on(table, plant) | put the item on the table
on(table, cookie) | put the item on the table
on(table, bottle) | put the item on the table
]

[  % 6
switched_on(television) | turn on the television
has(user, pillow) | give me the item
on(couch, blanket) | put the item on the couch
has(user, muffin) | give me the item
on(couch, newspaper) | put the item on the couch
has(user, candle) | give me the item
filled(teapot, kettle) | fill the item from the kettle
